Group,Title,Image,Description,Address,Latitude,Longitude,Found Address,Match Quality,Source
a,cylinder,https://www.edx.org/sites/default/files/trinity1.jpg,"Not in the link <a href=""http://www.trincoll.edu"" target=""_blank"">view website</a> more not in the link","300 Summit St, Hartford CT 06106",29.8830556,-97.9411111,"300 SUMMIT ST, HARTFORD, CT, 06106",Exact,US Census
a,circle,https://upload.wikimedia.org/wikipedia/commons/4/41/You_are_here_-_T-shirt.jpg,"<a href=""http://wesleyan.edu"" target=""_blank"">view website</a>",45 Wyllys Ave Middletown CT 06459,28.9783333,-96.6458333,"45 WYLLYS AVE, MIDDLETOWN, CT, 06459",Exact,US Census
a,light,https://upload.wikimedia.org/wikipedia/commons/4/41/You_are_here_-_T-shirt.jpg,"<a href=""http://conncoll.edu"" target=""_blank"">view website</a>","270 Mohegan Ave, New London CT",21.4180556,-157.8036111,"270 MOHEGAN AVE PKWY, NEW LONDON, CT, 06320",Match,US Census
a,sphere,https://upload.wikimedia.org/wikipedia/commons/4/41/You_are_here_-_T-shirt.jpg,"<a href=""http://yale.edu"" target=""_blank"">view website</a>",149 Elm St New Haven CT,36.595,-82.1888889,"149 ELM ST, NEW HAVEN, CT, 06511",Match,US Census
a,disk,https://upload.wikimedia.org/wikipedia/commons/4/41/You_are_here_-_T-shirt.jpg,"<a href=""http://uconn.edu"" target=""_blank"">view website</a>","369 Fairfield Way, Storrs CT 06269",41.1175,-73.4083333,"369 FAIRFIELD RD, STORRS, CT, 06269",Match,US Census
a,disk,https://upload.wikimedia.org/wikipedia/commons/4/41/You_are_here_-_T-shirt.jpg,"<a href=""http://capitalcc.edu"" target=""_blank"">view website</a>",950 Main St Hartford CT,33.5861111,-86.2861111,"950 MAIN ST, HARTFORD, CT, 06111",Match,US Census
b,disk,https://upload.wikimedia.org/wikipedia/commons/4/41/You_are_here_-_T-shirt.jpg,"<a href=""www.dinosaurstatepark.org/"" target=""_blank"">view website</a>",400 West St Rock Hill CT 06067,30.2947222,-82.9841667,"400 WEST ST, ROCKY HILL, CT, 06067",Match,US Census
b,circle,https://upload.wikimedia.org/wikipedia/commons/4/41/You_are_here_-_T-shirt.jpg,"<a href=""www.ct.gov/deep/hammonasset"" target=""_blank"">view website</a>","1288 Boston Post Road, Madison CT 06443",33.9163889,-118.3516667,"1288 BOSTON POST RD, MADISON, CT, 06443",Match,US Census
c,fireball,https://upload.wikimedia.org/wikipedia/commons/4/41/You_are_here_-_T-shirt.jpg,State government office,"210 Capitol Ave, Hartford CT 06106",35.2333333,-82.7344444,"210 CAPITOL AVE, HARTFORD, CT, 06106",Exact,US Census
,disk,,,,40.6686111,-73.5275,,,
,unknown,,,,37.1536111,-83.7619444,,,
,oval,,,,35.8238889,-80.2536111,,,
,circle,,,,36.8430556,-83.3219444,,,
,disk,,,,42.5377778,-83.2330556,,,
,disk,,,,41.3252778,-72.1936111,,,
,other,,,,42.3916667,-71.5666667,,,
,light,,,,38.1055556,-98.6597222,,,
,light,,,,32.8544444,-79.975,,,
,oval,,,,45.5827778,-122.3522222,,,
,other,,,,29.4238889,-98.4933333,,,
,light,,,,38.2541667,-85.7594444,,,
,rectangle,,,,40.7008333,-73.7133333,,,
,chevron,,,,41.7002778,-73.9213889,,,
,oval,,,,32.7152778,-117.1563889,,,
,unknown,,,,38.7583333,-104.7425,,,
,sphere,,,,29.7630556,-95.3630556,,,
,unknown,,,,32.7833333,-96.8,,,
,light,,,,42.9955556,-71.4552778,,,
,circle,,,,29.7630556,-95.3630556,,,
,other,,,,44.7630556,-85.6205556,,,
,formation,,,,41.0338889,-73.7633333,,,
,triangle,,,,43.0388889,-87.9063889,,,
,unknown,,,,43.9627778,-70.2830556,,,
,light,,,,40.015,-105.27,,,
,unknown,,,,47.6063889,-122.3308333,,,
,disk,,,,34.1577778,-118.6375,,,
,triangle,,,,46.7163889,-122.9530556,,,
,triangle,,,,31.7058333,-83.6533333,,,
,unknown,,,,35.235,-75.6288889,,,
,triangle,,,,40.2736111,-76.8847222,,,
,formation,,,,30.1586111,-85.6602778,,,
,unknown,,,,29.6158333,-95.5575,,,
,cigar,,,,35.8905556,-83.7247222,,,
,unknown,,,,32.7591667,-97.7969444,,,
,light,,,,40.6936111,-89.5888889,,,
,other,,,,36.2522222,-85.9516667,,,
,rectangle,,,,42.9097222,-73.8955556,,,
,light,,,,34.1027778,-91.9922222,,,
,sphere,,,,43.666667,-79.416667,,,
,triangle,,,,39.0725,-93.7169444,,,
,light,,,,32.7763889,-79.9311111,,,
,cylinder,,,,39.4402778,-84.3622222,,,
,delta,,,,39.6411111,-85.1411111,,,
,sphere,,,,33.4222222,-111.8219444,,,
,triangle,,,,32.5436111,-83.5961111,,,
,other,,,,43.6666667,-92.9744444,,,
,changing,,,,34.0983333,-118.3258333,,,
,fireball,,,,33.4483333,-112.0733333,,,
,cylinder,,,,42.0372222,-88.2811111,,,
,cigar,,,,36.175,-115.1363889,,,
,circle,,,,36.175,-115.1363889,,,
,triangle,,,,47.6588889,-117.425,,,
,light,,,,35.5847222,-80.8102778,,,
,egg,,,,47.55,-52.666667,,,
,fireball,,,,35.265,-84.5533333,,,
,changing,,,,38.0194444,-122.1330556,,,
,unknown,,,,39.1141667,-94.6272222,,,
,other,,,,32.7833333,-96.8,,,
